Unique ID,Human Label,Confused,Concentrating,Bored,Frustrated
590,Concentrating,0.023,0.961,0.024,0.02
591,Confused,0.598,0.032,0.588,0.481
592,Frustrated,0.612,0.071,0.347,0.785
593,Concentrating,0.045,0.89,0.095,0.024
594,Concentrating,0.013,0.977,0.016,0.009
595,Concentrating,0.046,0.945,0.025,0.032
596,Concentrating,0.048,0.95,0.019,0.031
597,Concentrating,0.052,0.723,0.281,0.036
598,Concentrating,0.001,0.998,0.002,0.001
599,Bored,0.164,0.451,0.508,0.107
600,Bored,0.368,0.448,0.377,0.189
601,Concentrating,0.052,0.848,0.127,0.049
602,Concentrating,0.002,0.997,0.002,0.001
603,Concentrating,0.008,0.959,0.042,0.004
604,Concentrating,0.187,0.276,0.672,0.16
605,Concentrating,0.004,0.991,0.007,0.003
606,Concentrating,0.045,0.873,0.111,0.031
607,Bored,0.214,0.505,0.422,0.111
608,Concentrating,0.003,0.994,0.005,0.002
609,Concentrating,0.159,0.713,0.228,0.069
610,Concentrating,0.004,0.993,0.005,0.002
611,Concentrating,0.349,0.547,0.236,0.241
612,Concentrating,0.023,0.979,0.007,0.012
613,Concentrating,0.003,0.983,0.017,0.002
614,Concentrating,0.003,0.995,0.003,0.002
615,Bored,0.275,0.57,0.286,0.167
616,Bored,0.472,0.443,0.29,0.268
617,Bored,0.287,0.676,0.184,0.122
618,Concentrating,0.418,0.425,0.371,0.207
619,Concentrating,0.009,0.984,0.012,0.006
620,Concentrating,0.007,0.96,0.041,0.005
621,Concentrating,0.004,0.982,0.019,0.002
622,Concentrating,0.07,0.891,0.068,0.051
623,Concentrating,0.037,0.949,0.026,0.029
624,Concentrating,0.279,0.704,0.121,0.178
625,Concentrating,0.152,0.788,0.107,0.125
626,Concentrating,0.005,0.988,0.01,0.003
627,Concentrating,0.078,0.93,0.015,0.056
628,Concentrating,0.027,0.978,0.006,0.013
629,Concentrating,0.024,0.916,0.08,0.014
630,Concentrating,0.511,0.443,0.257,0.297
631,Concentrating,0.017,0.954,0.037,0.016
632,Concentrating,0.094,0.912,0.031,0.052
633,Concentrating,0.001,0.998,0.001,0.001
634,Frustrated,0.052,0.95,0.006,0.05
635,Concentrating,0.051,0.791,0.204,0.032
636,Frustrated,0.249,0.508,0.362,0.178
637,Concentrating,0.001,0.998,0.002,0.001
638,Concentrating,0.45,0.515,0.221,0.258
639,Bored,0.071,0.736,0.259,0.034
640,Concentrating,0.021,0.942,0.051,0.012
641,Concentrating,0.152,0.67,0.249,0.121
642,Concentrating,0.029,0.956,0.03,0.016
643,Concentrating,0.019,0.825,0.186,0.016
644,Concentrating,0.103,0.811,0.154,0.04
645,Concentrating,0.006,0.985,0.012,0.004
646,Concentrating,0.013,0.965,0.03,0.008
647,Concentrating,0.003,0.992,0.006,0.002
648,Bored,0.06,0.506,0.522,0.053
649,Concentrating,0.121,0.801,0.078,0.169
650,Concentrating,0.005,0.995,0.002,0.003
651,Concentrating,0.021,0.979,0.011,0.008
652,Concentrating,0.073,0.9,0.054,0.052
653,Frustrated,0.31,0.572,0.198,0.28
654,Concentrating,0.067,0.934,0.014,0.057
655,Concentrating,0.124,0.873,0.034,0.101
656,Concentrating,0.037,0.94,0.041,0.022
657,Concentrating,0.008,0.991,0.004,0.004
658,Concentrating,0.009,0.992,0.003,0.005
659,Concentrating,0.033,0.736,0.279,0.026
660,Concentrating,0.006,0.978,0.021,0.003
661,Concentrating,0.027,0.814,0.19,0.026
662,Confused,0.223,0.627,0.248,0.154
663,Concentrating,0.064,0.862,0.118,0.028
664,Concentrating,0.005,0.985,0.013,0.004
665,Bored,0.189,0.443,0.505,0.111
666,Concentrating,0.008,0.99,0.005,0.004
667,Concentrating,0.058,0.883,0.077,0.059
668,Concentrating,0.003,0.996,0.003,0.001
669,Frustrated,0.108,0.814,0.134,0.062
670,Concentrating,0.134,0.771,0.181,0.05
671,Concentrating,0.002,0.998,0.001,0.001
672,Frustrated,0.427,0.549,0.175,0.284
673,Bored,0.0,0.998,0.002,0.0
674,Concentrating,0.024,0.95,0.04,0.014
675,Concentrating,0.068,0.876,0.076,0.065
676,Concentrating,0.249,0.537,0.302,0.221
677,Concentrating,0.225,0.651,0.211,0.168
678,Concentrating,0.275,0.559,0.27,0.214
679,Concentrating,0.034,0.969,0.004,0.03
680,Concentrating,0.03,0.974,0.004,0.021
681,Concentrating,0.001,0.998,0.001,0.001
682,Concentrating,0.001,0.999,0.0,0.001
683,Concentrating,0.002,0.998,0.001,0.001
684,Concentrating,0.034,0.96,0.015,0.028
685,Concentrating,0.186,0.503,0.444,0.099
686,Concentrating,0.005,0.993,0.005,0.003
687,Concentrating,0.035,0.891,0.099,0.022
688,Concentrating,0.046,0.766,0.234,0.034
689,Concentrating,0.002,0.994,0.005,0.002
690,Confused,0.215,0.072,0.92,0.127
691,Concentrating,0.015,0.968,0.024,0.01
692,Concentrating,0.015,0.974,0.02,0.006
693,Concentrating,0.001,0.998,0.002,0.0
694,Concentrating,0.035,0.932,0.05,0.023
695,Concentrating,0.145,0.791,0.125,0.095
696,Concentrating,0.026,0.975,0.012,0.011
697,Concentrating,0.034,0.852,0.141,0.029
698,Bored,0.12,0.789,0.168,0.047
699,Concentrating,0.002,0.996,0.003,0.001
700,Concentrating,0.0,1.0,0.0,0.0
701,Concentrating,0.002,0.998,0.001,0.001
702,Concentrating,0.002,0.999,0.001,0.001
703,Concentrating,0.001,0.999,0.0,0.0
704,Frustrated,0.406,0.45,0.262,0.344
705,Concentrating,0.112,0.79,0.118,0.133
706,Confused,0.299,0.559,0.283,0.177
707,Frustrated,0.068,0.816,0.14,0.077
708,Concentrating,0.153,0.83,0.065,0.113
709,Concentrating,0.026,0.82,0.184,0.026
710,Frustrated,0.058,0.867,0.113,0.03
711,Concentrating,0.001,0.998,0.002,0.001
712,Concentrating,0.068,0.934,0.016,0.053
713,Bored,0.502,0.368,0.38,0.244
714,Concentrating,0.008,0.991,0.004,0.005
715,Bored,0.184,0.41,0.552,0.102
716,Concentrating,0.029,0.969,0.008,0.027
717,Concentrating,0.012,0.99,0.003,0.006
718,Concentrating,0.018,0.973,0.017,0.013
719,Concentrating,0.177,0.727,0.147,0.161
720,Concentrating,0.011,0.989,0.005,0.006
721,Concentrating,0.037,0.696,0.32,0.033
722,Concentrating,0.03,0.936,0.053,0.017
723,Concentrating,0.137,0.884,0.04,0.062
724,Concentrating,0.047,0.965,0.008,0.021
725,Concentrating,0.055,0.933,0.036,0.032
726,Concentrating,0.017,0.954,0.04,0.011
727,Concentrating,0.013,0.966,0.03,0.008
728,Concentrating,0.121,0.821,0.118,0.068
729,Concentrating,0.051,0.957,0.012,0.028
730,Concentrating,0.007,0.972,0.028,0.003
731,Concentrating,0.014,0.988,0.004,0.007
732,Concentrating,0.006,0.975,0.024,0.005
733,Bored,0.062,0.405,0.646,0.041
734,Concentrating,0.104,0.776,0.193,0.041
735,Concentrating,0.002,0.996,0.004,0.001
736,Concentrating,0.004,0.991,0.007,0.003
737,Concentrating,0.002,0.995,0.004,0.001
738,Concentrating,0.032,0.61,0.43,0.022
739,Concentrating,0.015,0.934,0.064,0.011
740,Concentrating,0.008,0.987,0.009,0.005
741,Frustrated,0.611,0.173,0.39,0.524
742,Concentrating,0.301,0.554,0.278,0.193
743,Bored,0.216,0.431,0.488,0.144
744,Bored,0.648,0.456,0.188,0.288
745,Concentrating,0.004,0.995,0.003,0.002
746,Concentrating,0.002,0.996,0.003,0.002
747,Concentrating,0.021,0.977,0.009,0.014
748,Concentrating,0.163,0.786,0.108,0.12
749,Concentrating,0.171,0.808,0.084,0.112
750,Concentrating,0.16,0.807,0.104,0.09
751,Concentrating,0.006,0.984,0.014,0.003
752,Concentrating,0.018,0.974,0.016,0.012
753,Concentrating,0.077,0.872,0.097,0.035
754,Concentrating,0.09,0.514,0.506,0.043
755,Frustrated,0.362,0.311,0.497,0.259
756,Bored,0.172,0.384,0.588,0.1
757,Concentrating,0.256,0.631,0.233,0.15
758,Concentrating,0.414,0.579,0.131,0.307
759,Concentrating,0.136,0.851,0.046,0.117
760,Bored,0.227,0.462,0.445,0.146
761,Confused,0.42,0.512,0.216,0.292
762,Concentrating,0.007,0.988,0.008,0.005
763,Concentrating,0.003,0.994,0.004,0.002
764,Concentrating,0.054,0.76,0.234,0.04
765,Concentrating,0.058,0.569,0.459,0.035
766,Concentrating,0.002,0.998,0.001,0.001
767,Confused,0.214,0.59,0.272,0.192
768,Frustrated,0.056,0.634,0.381,0.039
769,Concentrating,0.002,0.997,0.002,0.001
770,Concentrating,0.065,0.804,0.18,0.038
771,Confused,0.212,0.669,0.233,0.108
772,Concentrating,0.006,0.994,0.003,0.004
773,Concentrating,0.032,0.684,0.34,0.028
774,Bored,0.198,0.032,0.98,0.117
775,Concentrating,0.096,0.73,0.234,0.069
776,Concentrating,0.336,0.622,0.138,0.266
777,Bored,0.205,0.254,0.732,0.092
778,Concentrating,0.006,0.991,0.004,0.007
779,Concentrating,0.155,0.755,0.125,0.156
780,Concentrating,0.006,0.977,0.022,0.003
781,Concentrating,0.211,0.59,0.293,0.16
782,Concentrating,0.141,0.759,0.193,0.05
783,Concentrating,0.005,0.991,0.007,0.003
784,Concentrating,0.003,0.995,0.004,0.002
785,Concentrating,0.158,0.823,0.073,0.11
786,Concentrating,0.065,0.702,0.294,0.045
787,Concentrating,0.16,0.742,0.17,0.107
788,Concentrating,0.008,0.964,0.036,0.005
789,Concentrating,0.001,0.998,0.002,0.001
790,Concentrating,0.003,0.998,0.001,0.001
791,Concentrating,0.002,0.998,0.001,0.001
792,Concentrating,0.088,0.832,0.131,0.046
793,Concentrating,0.199,0.156,0.805,0.164
794,Concentrating,0.265,0.122,0.765,0.248
795,Concentrating,0.141,0.726,0.216,0.075
796,Concentrating,0.032,0.953,0.028,0.023
797,Concentrating,0.007,0.981,0.016,0.005
798,Concentrating,0.046,0.797,0.205,0.022
799,Concentrating,0.007,0.993,0.002,0.005
800,Concentrating,0.041,0.499,0.547,0.038
801,Concentrating,0.005,0.995,0.002,0.002
802,Concentrating,0.001,0.999,0.001,0.0
803,Concentrating,0.0,0.999,0.0,0.0
804,Bored,0.289,0.4,0.48,0.166
805,Concentrating,0.123,0.895,0.034,0.062
806,Concentrating,0.278,0.591,0.261,0.164
807,Concentrating,0.061,0.93,0.042,0.024
808,Concentrating,0.118,0.877,0.049,0.074
809,Concentrating,0.035,0.724,0.291,0.03
810,Frustrated,0.036,0.685,0.331,0.037
811,Concentrating,0.012,0.988,0.005,0.007
812,Concentrating,0.169,0.434,0.534,0.095
813,Concentrating,0.061,0.821,0.165,0.032
814,Concentrating,0.031,0.947,0.04,0.015
815,Confused,0.445,0.593,0.176,0.186
816,Concentrating,0.298,0.385,0.501,0.155
817,Concentrating,0.102,0.907,0.029,0.059
818,Concentrating,0.055,0.906,0.072,0.024
819,Concentrating,0.116,0.654,0.31,0.077
820,Concentrating,0.456,0.54,0.157,0.31
821,Concentrating,0.019,0.961,0.032,0.01
822,Concentrating,0.211,0.103,0.885,0.127
823,Concentrating,0.028,0.934,0.047,0.03
824,Bored,0.033,0.64,0.394,0.023
825,Concentrating,0.009,0.99,0.004,0.006
826,Concentrating,0.061,0.862,0.105,0.05
827,Concentrating,0.217,0.778,0.055,0.184
828,Concentrating,0.096,0.846,0.101,0.064
829,Concentrating,0.036,0.943,0.032,0.032
830,Concentrating,0.031,0.966,0.011,0.027
831,Concentrating,0.033,0.956,0.02,0.028
832,Concentrating,0.027,0.969,0.012,0.021
833,Bored,0.067,0.619,0.376,0.069
834,Confused,0.152,0.654,0.277,0.104
835,Concentrating,0.209,0.752,0.126,0.125
836,Confused,0.886,0.217,0.25,0.481
837,Concentrating,0.024,0.841,0.161,0.025
838,Concentrating,0.013,0.96,0.036,0.009
839,Concentrating,0.006,0.975,0.024,0.004
840,Concentrating,0.13,0.849,0.038,0.136
841,Bored,0.267,0.487,0.309,0.291
842,Concentrating,0.021,0.931,0.066,0.011
843,Confused,0.006,0.972,0.028,0.003
844,Concentrating,0.026,0.906,0.089,0.015
845,Bored,0.236,0.589,0.294,0.144
846,Bored,0.209,0.51,0.385,0.165
847,Concentrating,0.027,0.812,0.193,0.027
848,Bored,0.223,0.21,0.75,0.135
849,Concentrating,0.033,0.964,0.015,0.022
850,Concentrating,0.02,0.983,0.004,0.011
851,Confused,0.253,0.213,0.708,0.176
852,Bored,0.072,0.359,0.689,0.053
853,Bored,0.028,0.777,0.237,0.021
854,Concentrating,0.351,0.424,0.448,0.13
855,Concentrating,0.065,0.616,0.399,0.039
856,Bored,0.024,0.813,0.198,0.018
857,Concentrating,0.053,0.883,0.097,0.029
858,Concentrating,0.06,0.839,0.139,0.039
859,Concentrating,0.493,0.376,0.359,0.269
860,Concentrating,0.016,0.976,0.017,0.008
861,Concentrating,0.0,0.999,0.001,0.0
862,Concentrating,0.439,0.598,0.123,0.266
863,Concentrating,0.002,0.998,0.001,0.001
864,Concentrating,0.11,0.884,0.055,0.055
865,Concentrating,0.012,0.984,0.01,0.007
866,Concentrating,0.031,0.962,0.019,0.02
867,Concentrating,0.029,0.844,0.159,0.018
868,Concentrating,0.019,0.93,0.067,0.01
869,Concentrating,0.005,0.979,0.02,0.003
870,Concentrating,0.105,0.787,0.165,0.067
871,Concentrating,0.001,0.998,0.001,0.001
872,Concentrating,0.012,0.958,0.038,0.01
873,Concentrating,0.006,0.991,0.005,0.004
874,Concentrating,0.065,0.809,0.17,0.043
875,Frustrated,0.253,0.236,0.7,0.145
876,Concentrating,0.024,0.944,0.048,0.014
877,Concentrating,0.026,0.895,0.102,0.016
878,Frustrated,0.369,0.284,0.4,0.461
879,Concentrating,0.006,0.977,0.022,0.005
880,Concentrating,0.009,0.983,0.013,0.005
881,Concentrating,0.029,0.96,0.017,0.028
882,Concentrating,0.01,0.989,0.005,0.005
883,Concentrating,0.002,0.997,0.002,0.001
884,Concentrating,0.003,0.996,0.003,0.002
885,Concentrating,0.0,0.999,0.001,0.0
886,Frustrated,0.218,0.236,0.724,0.131
887,Concentrating,0.035,0.965,0.012,0.023
888,Concentrating,0.225,0.305,0.64,0.131
889,Concentrating,0.016,0.889,0.115,0.014
890,Bored,0.063,0.433,0.608,0.051
891,Confused,0.284,0.396,0.47,0.194
892,Bored,0.201,0.617,0.268,0.157
893,Concentrating,0.041,0.716,0.301,0.025
894,Concentrating,0.006,0.986,0.011,0.005
895,Confused,0.025,0.853,0.15,0.019
896,Concentrating,0.07,0.899,0.065,0.039
897,Bored,0.301,0.377,0.469,0.218
898,Bored,0.32,0.396,0.439,0.219
899,Concentrating,0.001,0.998,0.001,0.001
900,Concentrating,0.065,0.575,0.443,0.044
901,Bored,0.208,0.245,0.748,0.081
902,Concentrating,0.159,0.83,0.086,0.074
903,Concentrating,0.162,0.819,0.087,0.093
904,Concentrating,0.004,0.995,0.003,0.002
905,Concentrating,0.15,0.8,0.106,0.107
906,Concentrating,0.194,0.58,0.317,0.153
907,Concentrating,0.479,0.178,0.33,0.701
908,Concentrating,0.135,0.87,0.039,0.093
909,Confused,0.435,0.52,0.247,0.217
910,Concentrating,0.027,0.76,0.259,0.017
911,Concentrating,0.353,0.653,0.143,0.188
912,Concentrating,0.028,0.975,0.008,0.014
913,Concentrating,0.099,0.904,0.023,0.077
914,Concentrating,0.017,0.98,0.011,0.007
915,Concentrating,0.002,0.997,0.002,0.001
916,Concentrating,0.014,0.988,0.005,0.005
917,Confused,0.678,0.382,0.231,0.34
918,Confused,0.223,0.282,0.662,0.14
919,Frustrated,0.238,0.345,0.577,0.148
920,Bored,0.372,0.558,0.221,0.23
921,Concentrating,0.003,0.997,0.002,0.002
922,Concentrating,0.001,0.999,0.001,0.001
923,Bored,0.258,0.1,0.829,0.191
924,Concentrating,0.015,0.96,0.035,0.01
925,Concentrating,0.067,0.618,0.393,0.043
926,Bored,0.041,0.579,0.461,0.025
927,Concentrating,0.048,0.948,0.02,0.034
928,Concentrating,0.061,0.947,0.009,0.044
929,Bored,0.191,0.308,0.663,0.112
930,Concentrating,0.003,0.997,0.001,0.001
931,Concentrating,0.016,0.942,0.053,0.014
932,Concentrating,0.301,0.737,0.11,0.117
933,Concentrating,0.108,0.778,0.182,0.053
934,Concentrating,0.088,0.817,0.151,0.044
935,Concentrating,0.012,0.988,0.003,0.009
936,Concentrating,0.004,0.995,0.002,0.002
937,Bored,0.233,0.372,0.523,0.186
938,Bored,0.472,0.249,0.52,0.265
939,Concentrating,0.007,0.983,0.014,0.004
940,Bored,0.055,0.772,0.232,0.021
941,Confused,0.148,0.843,0.058,0.103
942,Concentrating,0.003,0.997,0.002,0.002
943,Frustrated,0.48,0.513,0.218,0.245
944,Concentrating,0.003,0.996,0.003,0.001
945,Concentrating,0.24,0.763,0.092,0.138
946,Concentrating,0.111,0.86,0.08,0.06
947,Concentrating,0.142,0.749,0.173,0.101
948,Bored,0.042,0.768,0.237,0.029
949,Concentrating,0.141,0.865,0.056,0.07
950,Concentrating,0.011,0.965,0.031,0.009
951,Bored,0.252,0.351,0.586,0.113
952,Concentrating,0.178,0.825,0.043,0.142
953,Concentrating,0.005,0.987,0.012,0.003
954,Concentrating,0.056,0.715,0.287,0.04
955,Concentrating,0.129,0.807,0.11,0.102
956,Concentrating,0.055,0.949,0.015,0.034
957,Concentrating,0.021,0.961,0.025,0.021
958,Concentrating,0.124,0.816,0.113,0.082
959,Concentrating,0.021,0.945,0.049,0.011
960,Concentrating,0.002,0.996,0.003,0.001
961,Concentrating,0.014,0.988,0.002,0.009
962,Concentrating,0.001,0.998,0.002,0.001
963,Concentrating,0.105,0.647,0.331,0.062
964,Concentrating,0.003,0.996,0.002,0.002
965,Frustrated,0.462,0.344,0.454,0.198
966,Concentrating,0.096,0.905,0.033,0.061
967,Frustrated,0.584,0.351,0.129,0.627
968,Concentrating,0.259,0.356,0.536,0.178
969,Concentrating,0.001,0.997,0.003,0.001
970,Bored,0.1,0.475,0.538,0.057
971,Concentrating,0.004,0.993,0.005,0.003
972,Concentrating,0.004,0.992,0.005,0.003
973,Concentrating,0.005,0.994,0.003,0.003
974,Bored,0.183,0.471,0.463,0.13
975,Concentrating,0.267,0.507,0.402,0.104
976,Concentrating,0.04,0.731,0.283,0.025
977,Concentrating,0.002,0.998,0.001,0.001
978,Concentrating,0.001,0.999,0.0,0.0
979,Concentrating,0.0,0.999,0.001,0.0
980,Concentrating,0.029,0.948,0.036,0.021
981,Concentrating,0.01,0.983,0.012,0.007
982,Concentrating,0.096,0.899,0.041,0.06
983,Confused,0.134,0.662,0.29,0.082
984,Bored,0.065,0.655,0.356,0.035
985,Bored,0.153,0.421,0.539,0.123
986,Concentrating,0.104,0.89,0.035,0.081
987,Concentrating,0.005,0.989,0.009,0.003
988,Concentrating,0.332,0.497,0.35,0.163
989,Concentrating,0.125,0.81,0.11,0.098
990,Concentrating,0.141,0.768,0.139,0.119
991,Confused,0.27,0.644,0.204,0.163
992,Bored,0.125,0.764,0.158,0.106
993,Concentrating,0.224,0.719,0.131,0.169
994,Concentrating,0.217,0.786,0.099,0.099
995,Concentrating,0.003,0.995,0.003,0.002
996,Concentrating,0.015,0.978,0.01,0.014
997,Concentrating,0.002,0.997,0.002,0.001
998,Concentrating,0.022,0.956,0.033,0.015
999,Concentrating,0.001,0.998,0.001,0.001
1000,Concentrating,0.025,0.863,0.137,0.022
1001,Confused,0.235,0.823,0.042,0.108
1002,Concentrating,0.062,0.597,0.42,0.043
1003,Concentrating,0.157,0.821,0.081,0.102
1004,Frustrated,0.292,0.52,0.315,0.203
1005,Concentrating,0.032,0.902,0.091,0.018
1006,Concentrating,0.002,0.998,0.001,0.001
1007,Bored,0.325,0.541,0.302,0.161
1008,Concentrating,0.052,0.951,0.01,0.04
1009,Concentrating,0.007,0.993,0.003,0.003
1010,Bored,0.051,0.32,0.755,0.035
1011,Concentrating,0.032,0.854,0.139,0.03
1012,Concentrating,0.484,0.493,0.198,0.314
1013,Concentrating,0.059,0.902,0.058,0.051
1014,Concentrating,0.315,0.671,0.149,0.17
1015,Concentrating,0.158,0.754,0.133,0.145
1016,Concentrating,0.051,0.953,0.016,0.029
1017,Concentrating,0.018,0.945,0.05,0.011
1018,Concentrating,0.255,0.709,0.132,0.165
1019,Concentrating,0.012,0.977,0.016,0.009
1020,Concentrating,0.362,0.434,0.417,0.155
1021,Concentrating,0.394,0.411,0.412,0.184
1022,Bored,0.462,0.234,0.554,0.244
1023,Bored,0.453,0.502,0.245,0.241
1024,Concentrating,0.003,0.996,0.003,0.001
1025,Concentrating,0.004,0.995,0.003,0.002
1026,Concentrating,0.219,0.242,0.714,0.135
1027,Concentrating,0.221,0.562,0.299,0.197
1028,Concentrating,0.086,0.816,0.139,0.066
1029,Concentrating,0.001,0.997,0.002,0.001
1030,Concentrating,0.008,0.993,0.003,0.004
1031,Concentrating,0.044,0.821,0.17,0.036
1032,Concentrating,0.026,0.966,0.02,0.014
1033,Concentrating,0.028,0.816,0.187,0.028
1034,Bored,0.342,0.117,0.668,0.363
1035,Concentrating,0.093,0.39,0.645,0.052
1036,Concentrating,0.176,0.798,0.092,0.116
1037,Concentrating,0.004,0.995,0.003,0.003
1038,Concentrating,0.003,0.994,0.005,0.002
1039,Concentrating,0.3,0.49,0.361,0.18
1040,Confused,0.593,0.356,0.314,0.313
1041,Concentrating,0.067,0.796,0.173,0.063
1042,Concentrating,0.223,0.431,0.498,0.122
1043,Concentrating,0.031,0.71,0.315,0.02
1044,Concentrating,0.013,0.987,0.005,0.008
1045,Concentrating,0.002,0.997,0.001,0.001
1046,Concentrating,0.001,0.999,0.0,0.0
1047,Concentrating,0.002,0.999,0.0,0.001
1048,Concentrating,0.002,0.998,0.0,0.001
1049,Concentrating,0.005,0.978,0.021,0.004
1050,Frustrated,0.172,0.69,0.225,0.107
1051,Concentrating,0.066,0.912,0.052,0.038
1052,Concentrating,0.006,0.993,0.004,0.004
1053,Concentrating,0.003,0.997,0.001,0.002
1054,Concentrating,0.045,0.72,0.291,0.03
1055,Concentrating,0.165,0.796,0.103,0.109
1056,Concentrating,0.02,0.942,0.048,0.018
1057,Concentrating,0.079,0.751,0.223,0.056
1058,Concentrating,0.007,0.993,0.002,0.005
1059,Bored,0.209,0.468,0.437,0.16
1060,Concentrating,0.008,0.991,0.003,0.006
1061,Concentrating,0.015,0.931,0.07,0.007
1062,Bored,0.019,0.969,0.023,0.009
1063,Concentrating,0.111,0.837,0.111,0.054
1064,Bored,0.238,0.452,0.468,0.121
1065,Bored,0.029,0.728,0.293,0.021
1066,Concentrating,0.156,0.748,0.16,0.115
1067,Bored,0.085,0.753,0.223,0.051
1068,Concentrating,0.015,0.983,0.007,0.01
1069,Concentrating,0.007,0.993,0.002,0.004
1070,Concentrating,0.017,0.981,0.008,0.011
1071,Concentrating,0.039,0.908,0.08,0.02
1072,Concentrating,0.083,0.858,0.106,0.041
1073,Bored,0.082,0.57,0.422,0.077
1074,Concentrating,0.031,0.877,0.118,0.022
1075,Frustrated,0.389,0.603,0.205,0.159
1076,Concentrating,0.014,0.954,0.041,0.011
1077,Bored,0.081,0.18,0.893,0.057
1078,Bored,0.21,0.196,0.717,0.222
1079,Concentrating,0.204,0.815,0.062,0.113
1080,Concentrating,0.011,0.963,0.034,0.008
1081,Concentrating,0.005,0.992,0.006,0.002
1082,Bored,0.106,0.349,0.68,0.063
1083,Concentrating,0.021,0.981,0.006,0.011
1084,Concentrating,0.009,0.968,0.031,0.004
1085,Concentrating,0.039,0.964,0.01,0.025
1086,Bored,0.099,0.904,0.029,0.068
1087,Concentrating,0.04,0.848,0.145,0.027
1088,Concentrating,0.045,0.941,0.037,0.021
1089,Concentrating,0.001,0.998,0.001,0.001
1090,Concentrating,0.003,0.989,0.01,0.002
1091,Bored,0.248,0.461,0.405,0.198
1092,Bored,0.035,0.854,0.133,0.037
1093,Bored,0.234,0.623,0.182,0.262
1094,Concentrating,0.017,0.979,0.01,0.011
1095,Concentrating,0.463,0.512,0.203,0.284
1096,Bored,0.041,0.435,0.629,0.026
1097,Concentrating,0.007,0.988,0.007,0.006
1098,Concentrating,0.007,0.987,0.008,0.005
1099,Concentrating,0.046,0.876,0.111,0.026
1100,Concentrating,0.005,0.982,0.016,0.004
1101,Concentrating,0.013,0.969,0.025,0.01
1102,Concentrating,0.017,0.98,0.011,0.01
1103,Concentrating,0.001,0.998,0.001,0.001
1104,Concentrating,0.044,0.929,0.049,0.025
1105,Concentrating,0.008,0.982,0.015,0.005
1106,Concentrating,0.018,0.926,0.072,0.013
1107,Concentrating,0.105,0.858,0.099,0.039
1108,Concentrating,0.396,0.565,0.227,0.191
1109,Bored,0.228,0.369,0.548,0.156
1110,Concentrating,0.036,0.855,0.143,0.021
1111,Concentrating,0.017,0.839,0.171,0.016
1112,Concentrating,0.002,0.997,0.002,0.001
1113,Concentrating,0.014,0.987,0.004,0.009
1114,Concentrating,0.214,0.551,0.343,0.152
1115,Concentrating,0.002,0.998,0.001,0.001
1116,Concentrating,0.011,0.986,0.007,0.008
1117,Concentrating,0.01,0.968,0.028,0.009
1118,Concentrating,0.017,0.965,0.027,0.011
1119,Concentrating,0.047,0.945,0.026,0.032
1120,Concentrating,0.034,0.965,0.016,0.018
1121,Concentrating,0.003,0.995,0.004,0.002
1122,Concentrating,0.061,0.883,0.099,0.021
1123,Concentrating,0.021,0.896,0.103,0.016
1124,Concentrating,0.017,0.956,0.036,0.012
1125,Concentrating,0.178,0.72,0.197,0.092
1126,Concentrating,0.002,0.994,0.005,0.001
1127,Frustrated,0.224,0.79,0.058,0.153
1128,Concentrating,0.026,0.914,0.076,0.022
1129,Concentrating,0.007,0.98,0.016,0.007
1130,Concentrating,0.005,0.982,0.018,0.003
1131,Concentrating,0.009,0.99,0.005,0.005
1132,Concentrating,0.005,0.996,0.001,0.003
1133,Concentrating,0.106,0.719,0.245,0.067
1134,Concentrating,0.216,0.6,0.302,0.125
1135,Concentrating,0.013,0.964,0.032,0.009
1136,Concentrating,0.574,0.459,0.188,0.333
1137,Concentrating,0.029,0.761,0.257,0.019
1138,Concentrating,0.013,0.977,0.017,0.008
1139,Concentrating,0.087,0.533,0.473,0.06
1140,Concentrating,0.011,0.988,0.007,0.004
1141,Concentrating,0.0,0.999,0.001,0.0
1142,Bored,0.169,0.256,0.74,0.1
1143,Concentrating,0.029,0.971,0.014,0.013
1144,Concentrating,0.002,0.997,0.002,0.001
1145,Concentrating,0.041,0.952,0.019,0.034
1146,Bored,0.102,0.634,0.339,0.076
1147,Concentrating,0.049,0.956,0.011,0.032
1148,Concentrating,0.003,0.994,0.005,0.002
1149,Concentrating,0.094,0.879,0.074,0.046
1150,Concentrating,0.007,0.992,0.004,0.004
1151,Concentrating,0.276,0.688,0.134,0.187
1152,Concentrating,0.003,0.995,0.003,0.002
1153,Concentrating,0.013,0.987,0.005,0.007
1154,Concentrating,0.002,0.997,0.002,0.001
1155,Concentrating,0.027,0.919,0.074,0.015
1156,Concentrating,0.084,0.893,0.055,0.059
1157,Concentrating,0.013,0.973,0.02,0.01
1158,Concentrating,0.026,0.868,0.132,0.018
1159,Concentrating,0.072,0.846,0.114,0.06
1160,Concentrating,0.189,0.824,0.081,0.075
1161,Concentrating,0.078,0.884,0.063,0.066
1162,Concentrating,0.004,0.99,0.009,0.002
1163,Concentrating,0.007,0.994,0.002,0.004
1164,Concentrating,0.031,0.967,0.016,0.016
1165,Concentrating,0.032,0.972,0.008,0.018
1166,Concentrating,0.063,0.76,0.224,0.05
1167,Concentrating,0.018,0.958,0.033,0.012
1168,Concentrating,0.003,0.99,0.01,0.001
1169,Concentrating,0.116,0.856,0.066,0.086
1170,Bored,0.047,0.425,0.63,0.041
1171,Bored,0.083,0.811,0.157,0.048
